i'm just curious	je suis juste curieuse
i'll get rid of it	je m'en debarrasserai
he has a common name	il a un nom commun
she will be here tonight	elle sera la ce soir
i hate it	je deteste ca
i really have missed you	tu m'as vraiment manque
i'll go next	j'irai ensuite
drink some tea	bois un peu de the
she's scared of dogs	elle a peur des chiens
she has no brothers	elle n'a pas de frere
tom never was ambitious	tom n'a jamais ete ambitieux
can you do that ?	pouvez vous faire cela ?
it's right up your alley	c'est exactement dans tes cordes
i was overwhelmed	j'etais submergee
you have my word	je te le promets
can you pitch ?	sais tu lancer ?
write to him right away	ecris lui tout de suite
i've had a busy week	j'ai eu une semaine chargee
something is missing	quelque chose manque
we're all here	nous sommes toutes ici
they hunted foxes	ils chassaient des renards
i felt scared	je me sentis apeure
i trust him completely	je lui fais totalement confiance
they despise you	ils vous meprisent
do you like music ?	la musique vous plait ?
she did it carefully	elle l'a fait soigneusement
it's not a big deal	peu importe
count up to thirty	comptez jusqu'a trente
who're you looking for ?	qui cherchez vous ?
these boxes are heavy	ces caisses sont lourdes
he's a chain smoker	c'est un fumeur invetere
that's a myth	c'est un mythe
i apologize for this	je m'en excuse
that's something of an understatement	c'est bien peu dire
we're being watched	nous sommes observes
it was all gone	tout avait disparu
i prefer plain materials	je prefere les materiaux simples
i'll go anywhere you want	j'irai ou vous voulez
they released the prisoner	ils relacherent la prisonniere
your bath is ready	ton bain est pret
she turned her eyes away	elle detourna le regard
he's going to regret this	il va le regretter
it was very scary	c'etait tres effrayant
i didn't vote	je n'ai pas vote
he thinks that's normal	il pense que c'est normal
tom is getting old	tom devient age
what did you expect ?	a quoi t'attendais tu ?
the taxi has arrived	le taxi est arrive
dad's always encouraging him	papa l'encourage toujours
he is nasty	il est mechant
i was humiliated	on m'a humiliee
tom doesn't help me	tom ne m'aide pas
are you saying no ?	dites vous non ?
i'm on holiday	je suis en conges
he's brighter than they are	il est plus intelligent qu'eux
don't shoot	ne tirez pas !
he delivers newspapers	il livre les journaux
let me find out	laisse moi trouver !
we were at school together	nous etions a l'ecole ensemble
what's tom like ?	a quoi ressemble tom ?
you're not very funny	vous n'etes pas tres amusant
you're remarkable	tu es remarquable
are they friends ?	sont ils amis ?
it's because i love him	c'est parce que je l'aime
you are my hero	tu es mon heroine
you aren't looking	vous ne regardez pas
i'm very sleepy	j'ai tres sommeil
your cat will survive	votre chatte survivra
what was your question ?	quelle etait votre question ?
it's very interesting	c'est fort interessant
we're not doing anything	nous ne faisons rien
he went back home	il rentra chez lui
ask me anything !	demande moi n'importe quoi !
they found out	elles l'ont demasque
keep it together tom	ne craque pas tom
we love each other	nous nous aimons l'un l'autre
his heart was beating wildly	son c ur battait frenetiquement
it's awful	c'est affreux
let's take a coffee break	faisons une pause cafe
he pushed me gently	il me poussa gentiment
i will protect you	je vous protegerai
look at that red building	regardez cet immeuble rouge
we're very different	nous sommes tres differentes
this is expensive	c'est cher
do you recognize them ?	les reconnais tu ?
these containers are airtight	ces conteneurs sont hermetiques
are you a paleontologist ?	etes vous paleontologue ?
we talked	nous avons discute
we want a new carpet	nous voulons un nouveau tapis
wait for us	attendez nous !
let's get together on sunday	retrouvons nous dimanche
i'm the boss	c'est moi la patronne
they amended the document	ils amenderent le document
hold on a minute	attendez une minute !
what does he want ?	que veut il ?
he's not in	il n'est pas a l'interieur
i know him very well	je le connais tres bien
i'm ambitious	je suis ambitieuse
i don't need this anymore	je n'en ai plus besoin
you're very busy	vous etes tres occupes
we're ruthless	nous sommes impitoyables
adjust your tie	ajuste ta cravate !
we'll visit you tomorrow	nous te rendrons visite demain
please sing	chantez je vous prie !
go get changed	va te changer !
he turned the corner	il tourna au coin
she shot him	elle lui tira dessus
i prefer to be alone	je prefere etre seule
tom isn't reliable	tom n'est pas fiable
go over the choices again	reconsidere les options !
i'm very strict	je suis tres stricte
don't drink any alcohol	ne bois aucun alcool !
we must check	il nous faut verifier
i had to go back	j'ai du retourner
i want the fan	je veux l'eventail
you may quote me	vous pouvez me citer
you are blinded by love	vous etes aveuglee par l'amour
enjoy the show	prends plaisir au spectacle
i'm still your friend	je suis toujours votre ami
we're astonished	nous sommes stupefaits
that explains a lot	ca explique beaucoup de choses
i'm going back to college	je retourne a la fac
i truly hope not	je ne l'espere vraiment pas
the actress was dressed beautifully	l'actrice etait elegamment habillee
we miss you a lot	vous nous manquez beaucoup
take out the trash	sortez les ordures !
he always works hard	il travaille toujours d'arrache pied
let's sit on the grass	asseyons nous sur l'herbe
you're out of booze	t'es a sec
they camped on the beach	elles camperent sur la plage
she turned around suddenly	elle se retourna soudainement
take care of yourselves	prenez soin de vous !
you're resilient	vous etes endurants
i'm hungry	j'ai faim !
you are early	vous etes en avance
are you envious ?	etes vous envieuses ?
i'm opening my presents now	j'ouvre maintenant mes cadeaux
this is our last chance	c'est notre derniere chance
the boat capsized	le bateau chavira
where are you hurt ?	ou etes vous blesse ?
no one escaped	personne n'en rechappa
is he a teacher ?	est il enseignant ?
i need some volunteers	j'ai besoin de volontaires
they arrested her	elles l'ont arretee
i woke you up	je t'ai reveille
don't approach the dog	n'approche pas du chien
don't thank me now	ne me remercie pas maintenant
school begins at nine	l'ecole debute a neuf heures
do your own job	faites votre propre travail !
he is hated	il est hai
stay in bed	reste alitee !
don't approach the dog	n'approchez pas du chien
i returned to japan	je suis retourne au japon
who is that woman ?	qui est cette femme ?
i enjoy taking pictures	j'aime prendre des photos
i felt guilty	je me suis sentie coupable
he saluted the lady	il salua la dame
call me when you can	appelle moi quand tu peux
we're in college	nous sommes a la fac
he is wearing glasses	il porte des lunettes
he is about thirty	il a environ trente ans
it's all over for us	pour nous tout est fini
she lit the candles	elle a allume les bougies
tom could barely breathe	tom pouvait a peine respirer
we're very satisfied with it	nous en sommes tres satisfaites
he will also go	il ira aussi
i will think of something	je penserai a quelque chose
i think that's tom	je pense que c'est tom
are they japanese ?	sont ils japonais ?
please treat the cat well	veuillez bien traiter le chat
it's easy to remember	c'est facile de s'en souvenir
don't be alarmed	ne soyez pas alarmes
love will survive	l'amour survivra
it's obvious that he's right	c'est evident qu'il a raison
it was boring	c'etait barbant
please leave	je vous prie de partir
that's a complex question	c'est une question complexe
that really bothers me	ca me derange vraiment
you're the oldest	c'est vous la plus vieille
i thought she was sick	je pensais qu'elle etait malade
you must respect your elders	tu dois respecter tes aines
i'm in a hurry today	je suis presse aujourd'hui
they won	elles gagnerent
we all know	nous le savons tous
tom is getting bored	tom commence a s'ennuyer
your pencils need sharpening	vos crayons doivent etre aiguises
air the futon	aere le futon !
i baked it this morning	je l'ai cuite ce matin
you're very timid	tu es tres timide
you're in luck	vous etes veinardes
here she is !	la voila !
i was eventually released	je fus finalement relache
tom is tireless	tom est infatigable
it isn't over yet	ce n'est pas encore termine
i liked your dancing	j'ai apprecie ta danse
our eyes met	nos yeux se sont croises
you don't have a choice	vous n'avez pas le choix
what a beautiful town !	quelle belle bourgade !
the word has several meanings	le mot a plusieurs significations
are you tired ?	etes vous lasses ?
let me try	laisse moi essayer
i'm really cold	j'ai vraiment froid
that was quick	c'etait rapide
i sell computers	je vends des ordinateurs
it's an emergency !	il s'agit d'une urgence !
look at the blackboard	regarde le tableau
what actually happened ?	qu'est il vraiment arrive ?
i hate beans	je deteste les haricots
he kept his promise	il tint sa promesse
that's absolutely right	c'est tout a fait juste
this is my car	c'est ma voiture
that sounds outrageous	ca a l'air grotesque
i want to cry	j'ai envie de pleurer
no one is home	personne n'est a la maison
i've got a question	j'ai une question
i almost drowned	je me suis presque noye
come back tomorrow	revenez demain !
i thought i was happy	je pensais que j'etais heureuse
do you hear me ?	tu m'entends ?
i'll kill you	je vais te tuer
i refuse to allow this	je refuse de permettre ca
tom is extremely generous	tom est tres genereux
we can't see anything	nous ne pouvons rien voir
you're disloyal	tu es deloyal
do you feel lucky ?	te sens tu chanceux ?
you're good	tu es bonne
you're very curious	tu es tres curieux
tom is waiting for you	tom vous attend
tom rubbed his forehead	tom s'est frotte le front
i was overwhelmed	j'etais submerge
he is always studying	il etudie tout le temps
has he arrived yet ?	est il deja arrive ?
they're smiling at each other	elles se sourient
i'm getting undressed	je me deshabille
is it hard ?	est ce difficile ?
i'll go get my car	je vais chercher ma voiture
they gave us their word	ils nous donnerent leur parole
we're going to work together	nous allons travailler ensemble
get down	descendez !
he laughed nervously	il rit nerveusement
i wasn't involved	on ne m'a pas impliquee
you can trust him	tu peux lui faire confiance
we have nothing to discuss	nous n'avons rien a discuter
she goes to school	elle va a l'ecole
have you slept ?	as tu dormi ?
i don't deserve it	je ne le merite pas
you sure are pretty	tu es vraiment jolie
you've got my helmet	tu as mon casque
somebody stole my car	quelqu'un a vole ma voiture
his advice counted for little	ses conseils ne compterent guere
you could help me	tu pourrais m'aider
do you like fish ?	vous aimez le poisson ?
your demands are unreasonable	tes exigences sont deraisonnables
hold on a minute	attendez voir !
i used my imagination	j'ai utilise mon imagination
i no longer want that	je n'en veux plus
it's a bit wobbly	c'est un peu branlant
i could hear everything	je pus tout entendre
